,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.06578254699707031,0.93408203125,,,,,
sub-tree-avg,,,0.04972648620605469,0.82098388671875,0.004530429840087891,0.10613346099853516,0.018603742122650146
