,longsleeve,shortsleeve,t-shirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.805908203125,0.194183349609375,,,,
sub-tree-avg,,,0.35516357421875,0.06358718872070312,0.02341461181640625,0.5577754974365234
