,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.10452461242675781,0.8955078125,,,,,
sub-tree-avg,,,0.02915668487548828,0.921630859375,0.025157451629638672,0.01611429452896118,0.008012562990188599
