,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.045151710510253906,0.9547119140625,,,,,
sub-tree-avg,,,0.027141571044921875,0.77667236328125,0.0069141387939453125,0.1859111785888672,0.0033240318298339844
