,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.489410400390625,0.51055908203125,,,,,
sub-tree-avg,,,0.029598236083984375,0.6913223266601562,0.011716842651367188,0.1540203094482422,0.11336109042167664
