,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt
parent-tree-avg,0.03098320960998535,0.011287689208984375,0.935302734375,0.022404193878173828,,,,,,,
sub-tree-avg,,,0.040737152099609375,,0.00018256902694702148,0.005164623260498047,0.0024204254150390625,0.006173133850097656,0.2666473388671875,0.63153076171875,0.047267913818359375
