,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.029642105102539062,0.9703369140625,,,,,
sub-tree-avg,,,0.020607471466064453,0.849365234375,0.04961585998535156,0.07966232299804688,0.0008058398962020874
