,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.1378173828125,0.8623046875,,,,,
sub-tree-avg,,,0.1605072021484375,0.75811767578125,0.0110626220703125,0.05500602722167969,0.015374302864074707
