,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.05224418640136719,0.94775390625,,,,,
sub-tree-avg,,,0.05325603485107422,0.8717041015625,0.02457714080810547,0.04668712615966797,0.0037983059883117676
