,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.018741607666015625,0.981201171875,,,,,
sub-tree-avg,,,0.0052613019943237305,0.9725341796875,0.007586479187011719,0.01443326473236084,0.0003005564212799072
