,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.0696258544921875,0.9302978515625,,,,,
sub-tree-avg,,,0.022500991821289062,0.8875732421875,0.03697013854980469,0.027924537658691406,0.025054216384887695
