,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.15239906311035156,0.84765625,,,,,
sub-tree-avg,,,0.1286468505859375,0.74163818359375,0.08763885498046875,0.034576416015625,0.007597684860229492
