,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.029205322265625,0.970703125,,,,,
sub-tree-avg,,,0.006140947341918945,0.904541015625,0.002790689468383789,0.08490312099456787,0.0016686171293258667
