,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.03517627716064453,0.96484375,,,,,
sub-tree-avg,,,0.061951637268066406,0.8680419921875,0.04016304016113281,0.019918203353881836,0.009964093565940857
