,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.20800018310546875,0.7919921875,,,,,
sub-tree-avg,,,0.035701751708984375,0.9017333984375,0.010103464126586914,0.027904987335205078,0.024475187063217163
