,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.0647735595703125,0.93505859375,,,,,
sub-tree-avg,,,0.05423164367675781,0.79327392578125,0.005339145660400391,0.12248897552490234,0.024795696139335632
