,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt
parent-tree-avg,0.006287574768066406,0.009493827819824219,0.9825439453125,0.0017077326774597168,,,,,,,
sub-tree-avg,,,0.0786285400390625,,0.254150390625,0.046680450439453125,0.002713441848754883,0.024503707885742188,0.303009033203125,0.281005859375,0.009314537048339844
