,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.029582977294921875,0.8948974609375,0.06201934814453125,0.013424873352050781,,,,,,
sub-tree-avg,,,,,0.20782470703125,0.024095535278320312,0.003731966018676758,0.379638671875,0.08779144287109375,0.29685211181640625
