,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.029941558837890625,0.969970703125,,,,,,
sub-tree-avg,,,0.015499114990234375,0.75677490234375,0.03680992126464844,0.11739349365234375,0.07279682159423828,0.0007105618715286255
