,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.033507347106933594,0.966552734375,,,,,,
sub-tree-avg,,,0.046013832092285156,0.75250244140625,0.029942989349365234,0.1528005599975586,0.014158844947814941,0.00465904176235199
