,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.06499862670898438,0.93505859375,,,,,,
sub-tree-avg,,,0.01958942413330078,0.82708740234375,0.03190040588378906,0.07249069213867188,0.026727676391601562,0.022180065512657166
