,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.032509803771972656,0.967529296875,,,,,,
sub-tree-avg,,,0.0062906742095947266,0.9105224609375,0.0032684803009033203,0.016407012939453125,0.060375332832336426,0.00310477614402771
