,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.05118370056152344,0.9488525390625,,,,,,
sub-tree-avg,,,0.04651641845703125,0.68768310546875,0.1305694580078125,0.05781841278076172,0.06627655029296875,0.011226952075958252
