,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.10309600830078125,0.8968505859375,,,,,,
sub-tree-avg,,,0.01521158218383789,0.738525390625,0.0468902587890625,0.1635589599609375,0.029621124267578125,0.006240189075469971
