,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.06561279296875,0.9080810546875,0.002775251865386963,0.023449182510375977,,,,,,
sub-tree-avg,,,,,0.06939315795898438,0.0068312883377075195,0.07198333740234375,0.8197021484375,0.013261795043945312,0.018944740295410156
