,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt
parent-tree-avg,0.0013446807861328125,0.001912832260131836,0.9954833984375,0.0013990402221679688,,,,,,,
sub-tree-avg,,,0.073150634765625,,0.529541015625,0.04221343994140625,0.003061532974243164,0.02509784698486328,0.11236953735351562,0.213897705078125,0.0007916688919067383
