,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.1944122314453125,0.8055419921875,,,,,
sub-tree-avg,,,0.1302337646484375,0.625213623046875,0.053577423095703125,0.14333343505859375,0.04758644104003906
