,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.25189208984375,0.51177978515625,0.22905731201171875,0.007257223129272461,,,,,
sub-tree-avg,,,,,0.1107635498046875,0.394317626953125,0.460693359375,0.022623062133789062,0.011607885360717773
