,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt,short
parent-tree-avg,0.0010602325201034546,0.011007994413375854,0.9830322265625,0.005007818341255188,,,,,,,,
stage-tree-avg,,,0.04302787780761719,,0.0001338571310043335,0.004626572132110596,0.020095348358154297,0.012137174606323242,0.600341796875,0.31915283203125,0.00046281516551971436,
stage-tree-avg,,,,,,,,,,,0.2574138641357422,0.7425537109375
