,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.08679962158203125,0.69110107421875,0.20370864868164062,0.01829051971435547,,,,,
stage-tree-avg,,,,,0.1489410400390625,0.23018646240234375,0.021709442138671875,0.213043212890625,0.3860931396484375
