,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt,short
parent-tree-avg,0.006217479705810547,0.07732105255126953,0.913330078125,0.0031958818435668945,,,,,,,,
stage-tree-avg,,,0.0017867088317871094,,1.583993434906006e-05,0.00045222043991088867,0.00017091631889343262,0.0009645223617553711,0.9700927734375,0.026294708251953125,0.0003190934658050537,
stage-tree-avg,,,,,,,,,,,0.10496032238006592,0.89501953125
