,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt
parent-tree-avg,0.32978057861328125,0.02579498291015625,0.63543701171875,0.008941471576690674,,,,,,,
stage-tree-avg,,,0.019183635711669922,,0.00010637938976287842,0.005307435989379883,0.0001273900270462036,0.04125642776489258,0.2620201110839844,0.03788900375366211,0.6341400146484375
