,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Pleated Skirt,Maxi Skirt,Wrap Skirt,Sheath Dress,Wrap Dress,Maxi Dress,Shift Dress
parent-tree-avg,0.52313232421875,0.463165283203125,0.012722969055175781,0.000997304916381836,,,,,,,,,
stage-tree-avg,0.318084716796875,,,,0.01147577166557312,0.2286510467529297,0.14930152893066406,0.028992652893066406,0.11034107208251953,0.00840139389038086,0.029226303100585938,0.0138397216796875,0.10177230834960938
