,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt,short
parent-tree-avg,0.3535003662109375,0.1757049560546875,0.45391845703125,0.016832351684570312,,,,,,,,
stage-tree-avg,,,0.026851654052734375,,0.0011118054389953613,0.020547866821289062,0.0030951499938964844,0.36749267578125,0.0515289306640625,0.235992431640625,0.29332733154296875,
stage-tree-avg,,,,,,,,,,,0.9857177734375,0.014392852783203125
