,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.019153594970703125,0.89306640625,0.03538239002227783,0.05237102508544922,,,,,
stage-tree-avg,,,,,0.20611572265625,0.3101654052734375,0.375274658203125,0.10286903381347656,0.005700826644897461
