,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt,short
parent-tree-avg,0.009467840194702148,0.015564680099487305,0.8857421875,0.08922672271728516,,,,,,,,
stage-tree-avg,,,0.006970882415771484,,0.00016295909881591797,0.0010338425636291504,0.00016626715660095215,0.005503296852111816,0.953857421875,0.029682159423828125,0.002614617347717285,
stage-tree-avg,,,,,,,,,,,0.23726272583007812,0.7626953125
