,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.003387451171875,0.989990234375,0.0011287331581115723,0.0053975582122802734,,,,,
stage-tree-avg,,,,,0.010248184204101562,0.144989013671875,0.818603515625,0.0261383056640625,7.107853889465332e-05
