,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt,short
parent-tree-avg,0.0054931640625,0.0060901641845703125,0.9715576171875,0.016824722290039062,,,,,,,,
stage-tree-avg,,,0.006318092346191406,,0.0006227344274520874,0.0039670467376708984,0.0008308291435241699,0.0044231414794921875,0.868408203125,0.1142578125,0.0011902451515197754,
stage-tree-avg,,,,,,,,,,,0.20926666259765625,0.790771484375
