,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Pleated Skirt,Maxi Skirt,Wrap Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress
parent-tree-avg,0.7034912109375,0.288482666015625,0.0016728043556213379,0.006371974945068359,,,,,,,,,
stage-tree-avg,0.51397705078125,,,,0.01678609848022461,0.03237462043762207,0.002018555998802185,0.004764840006828308,0.03432959318161011,0.2186279296875,0.09209442138671875,0.0714263916015625,0.013622522354125977
