,longsleeve,shortsleeve,t-shirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.8179931640625,0.1820068359375,,,,
sub-tree-avg,,,0.1889801025390625,0.04575920104980469,0.18194580078125,0.5833282470703125
