,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt
parent-tree-avg,0.004645824432373047,0.016279220581054688,0.97119140625,0.007856369018554688,,,,,,,
sub-tree-avg,,,0.004090309143066406,,0.00010176002979278564,0.00343477725982666,0.00033371150493621826,0.0031294822692871094,0.9708251953125,0.017091751098632812,0.0009136497974395752
