,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.0188751220703125,0.862060546875,0.0565638542175293,0.06250572204589844,,,,,
sub-tree-avg,,,,,0.2061004638671875,0.3092803955078125,0.371734619140625,0.10531806945800781,0.00765073299407959
