,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.1421499252319336,0.85791015625,,,,,
sub-tree-avg,,,0.14004898071289062,0.73388671875,0.08365631103515625,0.03690528869628906,0.0054163336753845215
