,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.029582977294921875,0.8948974609375,0.06201934814453125,0.013424873352050781,,,,,
sub-tree-avg,,,,,0.372802734375,0.04764366149902344,0.006740093231201172,0.14739227294921875,0.425262451171875
