,longsleeve,shortsleeve,t-shirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.8167724609375,0.183258056640625,,,,
sub-tree-avg,,,0.37158203125,0.060886383056640625,0.022823333740234375,0.5446662902832031
