,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.09852218627929688,0.9014892578125,,,,,
sub-tree-avg,,,0.10460662841796875,0.52801513671875,0.019136428833007812,0.2349700927734375,0.11331677436828613
