,dress,shirt,pant,jacket,t-shirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.0030421018600463867,0.9722900390625,0.011753678321838379,0.012912273406982422,,,,
final-tree-avg,,,,,0.1822357177734375,0.047271728515625,0.1911773681640625,0.3665771484375
