,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Pleated Skirt,Maxi Skirt,Wrap Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress,Shift Dress
parent-tree-avg,0.75341796875,0.09107208251953125,0.008414745330810547,0.1470947265625,,,,,,,,,,
final-tree-avg,,,,,0.0499114990234375,0.0657958984375,0.0620574951171875,0.019725799560546875,0.1570892333984375,0.181396484375,0.203216552734375,0.1392822265625,0.018335342407226562,0.10323333740234375
