,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Pleated Skirt,Maxi Skirt,Wrap Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress,Shift Dress
parent-tree-avg,0.6533203125,0.266845703125,0.07242965698242188,0.007358551025390625,,,,,,,,,,
final-tree-avg,,,,,0.06389617919921875,0.188873291015625,0.09659576416015625,0.175933837890625,0.1647491455078125,0.19512939453125,0.026330947875976562,0.013912200927734375,0.030834197998046875,0.043689727783203125
