,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Pleated Skirt,Maxi Skirt,Wrap Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress,Shift Dress
parent-tree-avg,0.9368896484375,0.04824066162109375,0.013313531875610352,0.0014455020427703857,,,,,,,,,,
final-tree-avg,,,,,0.052166104316711426,0.021917343139648438,0.004389762878417969,0.008067131042480469,0.010190486907958984,0.4305419921875,0.24184417724609375,0.02590179443359375,0.021654129028320312,0.1833343505859375
