,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt
parent-tree-avg,0.2783203125,0.29205322265625,0.41644287109375,0.013109207153320312,,,,,,,
final-tree-avg,,,0.029384613037109375,,0.0007906556129455566,0.014615058898925781,0.005536794662475586,0.004784107208251953,0.439056396484375,0.46826171875,0.037502288818359375
