,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Pleated Skirt,Maxi Skirt,Wrap Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress,Shift Dress
parent-tree-avg,0.678955078125,0.1977691650390625,0.0509490966796875,0.07240265607833862,,,,,,,,,,
final-tree-avg,,,,,0.04384613037109375,0.284271240234375,0.048065185546875,0.0033180713653564453,0.4615478515625,0.05280494689941406,0.07343673706054688,0.0049440860748291016,0.0002995729446411133,0.027505874633789062
