,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Pleated Skirt,Maxi Skirt,Wrap Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress,Shift Dress
parent-tree-avg,0.49053955078125,0.25730133056640625,0.0964508056640625,0.15574169158935547,,,,,,,,,,
final-tree-avg,,,,,0.0706024169921875,0.0775146484375,0.017122268676757812,0.035678863525390625,0.747802734375,0.014337539672851562,0.01470947265625,0.007323265075683594,0.0015192031860351562,0.0133056640625
