,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Pleated Skirt,Maxi Skirt,Wrap Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress,Shift Dress
parent-tree-avg,0.536224365234375,0.42388916015625,0.004680752754211426,0.03517270088195801,,,,,,,,,,
final-tree-avg,,,,,0.0012964606285095215,0.004078865051269531,0.0010318756103515625,0.0013865232467651367,0.01488494873046875,0.1362457275390625,0.037502288818359375,0.1607666015625,0.012578964233398438,0.6302490234375
