,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.03329277038574219,0.86553955078125,0.09499025344848633,0.0061779022216796875,,,,,
final-tree-avg,,,,,0.05325603485107422,0.8717041015625,0.02457714080810547,0.04668712615966797,0.0037983059883117676
