,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Maxi Skirt,Wrap Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress,Shift Dress,skirt
parent-tree-avg,0.5648193359375,0.28910064697265625,0.13097381591796875,0.015165328979492188,,,,,,,,,,
final-tree-avg,,,,,0.14461517333984375,0.170867919921875,0.0035533905029296875,0.1650238037109375,0.0588836669921875,0.01917898654937744,0.0034077465534210205,9.979307651519775e-05,0.042206764221191406,0.39215087890625
