,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.0018072128295898438,0.9781494140625,0.0005446374416351318,0.019443511962890625,,,,,
final-tree-avg,,,,,0.04740142822265625,0.1190032958984375,0.8206787109375,0.012301445007324219,0.0005475878715515137
