,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.001978754997253418,0.9798583984375,0.017848968505859375,0.00024768710136413574,,,,,
final-tree-avg,,,,,0.603179931640625,0.2452392578125,0.047351837158203125,0.09542083740234375,0.008762717247009277
