,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training pant,skirt,short
parent-tree-avg,0.0049457550048828125,0.008550167083740234,0.985107421875,0.0013832449913024902,,,,,,,
final-tree-avg,,,0.08348846435546875,,0.280303955078125,0.04492950439453125,0.002445220947265625,0.024881362915039062,0.2566375732421875,0.0078582763671875,0.29937744140625
