,dress,shirt,pant,jacket,Pencil Skirt,A-Line Skirt,Pleated Skirt,Maxi Skirt,Wrap Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress
parent-tree-avg,0.8350830078125,0.16016387939453125,0.002076864242553711,0.00272524356842041,,,,,,,,,
final-tree-avg,0.6275634765625,,,,0.008918911218643188,0.010341167449951172,0.002837657928466797,0.0018613040447235107,0.01801276206970215,0.09942626953125,0.19271087646484375,0.03277587890625,0.005462646484375
