,dress,shirt,pant,jacket,Pencil Skirt,Pleated Skirt,Maxi Skirt,Wrap Skirt,A-Line Dress,Sheath Dress,Wrap Dress,Maxi Dress,Shift Dress,skirt
parent-tree-avg,0.91259765625,0.08129119873046875,0.004935264587402344,0.001051187515258789,,,,,,,,,,
final-tree-avg,,,,,0.067169189453125,0.1870880126953125,0.003209352493286133,0.225677490234375,0.15653228759765625,0.015088081359863281,0.004239141941070557,0.0003121793270111084,0.055171966552734375,0.28558349609375
