,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.02755451202392578,0.93017578125,0.022806644439697266,0.019468307495117188,,,,,,
sub-tree-avg,,,,,0.279693603515625,0.0677337646484375,0.038494110107421875,0.223541259765625,0.319854736328125,0.0707244873046875
