,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.016693115234375,0.9832763671875,,,,,,
sub-tree-avg,,,0.010264396667480469,0.71929931640625,0.003629922866821289,0.0292205810546875,0.23722076416015625,0.00042583048343658447
