,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training short,training pant,skirt
parent-tree-avg,0.0047473907470703125,0.005263805389404297,0.9765625,0.013447761535644531,,,,,,,
sub-tree-avg,,,0.006519794464111328,,0.0007659792900085449,0.0038940906524658203,0.0007264018058776855,0.0043163299560546875,0.8779296875,0.10445976257324219,0.0013548731803894043
